source,target,value,year
SAU_E,ITA,184615.698,2001
SAU_E,JPN,209221.861,2001
SAU_E,KOR,62692.878,2001
SAU_E,MEX,3979.205,2001
SAU_E,RUS,1756.269,2001
SAU_E,TUR,68170.752,2001
SAU_E,USA,483039.27,2001
SAU_E,ZAF,71941.423,2001
TUR_E,ARG,22799.684,2001
TUR_E,AUS,84286.963,2001
TUR_E,BRA,89817.583,2001
TUR_E,CAN,171707.559,2001
TUR_E,CHN,199372.814,2001
TUR_E,DEU,5366679.922,2001
TUR_E,EUN,19776479.09,2001
TUR_E,FRA,1895290.371,2001
TUR_E,GBR,2174891.67,2001
TUR_E,IDN,32417.552,2001
TUR_E,IND,74373.323,2001
TUR_E,ITA,2342203.343,2001
TUR_E,JPN,124064.588,2001
TUR_E,KOR,62364.456,2001
TUR_E,MEX,51773.082,2001
TUR_E,RUS,924106.727,2001
TUR_E,SAU,500641.937,2001
TUR_E,USA,3125803.605,2001
TUR_E,ZAF,77870.741,2001
USA_E,ARG,3591746.43,2001
USA_E,AUS,10210670.15,2001
USA_E,BRA,14617080.97,2001
USA_E,CAN,144389490.2,2001
USA_E,CHN,17918544.94,2001
USA_E,DEU,27952024.07,2001
USA_E,EUN,182078934.9,2001
USA_E,FRA,18821443.13,2001
USA_E,GBR,37092107.5,2001
USA_E,IDN,2462758.769,2001
USA_E,IND,3467566.232,2001
USA_E,ITA,9021366.218,2001
USA_E,JPN,53343116.87,2001
USA_E,KOR,20890112.48,2001
USA_E,MEX,90341580.7,2001
USA_E,RUS,2559283.232,2001
USA_E,SAU,5502092.089,2001
USA_E,TUR,3050081.252,2001
USA_E,ZAF,2820129.417,2001
ZAF_E,ARG,77836.59,2001
ZAF_E,AUS,450052.002,2001
ZAF_E,BRA,271679.407,2001
ZAF_E,CAN,183425.32,2001
ZAF_E,CHN,461312.299,2001
ZAF_E,DEU,2357854.428,2001
ZAF_E,EUN,14640963.49,2001
ZAF_E,FRA,608621.911,2001
ZAF_E,GBR,2836834.108,2001
ZAF_E,IDN,100032.802,2001
ZAF_E,IND,368910.529,2001
ZAF_E,ITA,788457.835,2001
ZAF_E,JPN,2306463.57,2001
ZAF_E,KOR,479829.243,2001
ZAF_E,MEX,93115.805,2001
ZAF_E,RUS,29563.784,2001
ZAF_E,SAU,123570.388,2001
ZAF_E,TUR,117543.309,2001
ZAF_E,USA,3631451.899,2001
ARG_E,AUS,95113.844,2002
ARG_E,BRA,4827790.868,2002
