source,target,year,value
AUS,EUN,2003,-9633762.489
AUS,FRA,2003,-1427417.3739999998
AUS,GBR,2003,1061709.4570000004
AUS,IDN,2003,22636.40599999996
AUS,IND,2003,1617149.105
AUS,ITA,2003,-1556691.413
AUS,JPN,2003,2896098.1799999997
AUS,KOR,2003,1994961.5330000003
AUS,MEX,2003,95800.08599999998
AUS,RUS,2003,78558.98599999999
AUS,SAU,2003,1038667.516
AUS,TUR,2003,38255.204
AUS,USA,2003,-6263876.414
AUS,ZAF,2003,117777.60699999996
BRA,CAN,2003,341423.19000000006
BRA,CHN,2003,2387945.2690000003
BRA,DEU,2003,-1494760.616
BRA,EUN,2003,7689987.529999999
BRA,FRA,2003,57738.33499999996
BRA,GBR,2003,540884.088
BRA,IDN,2003,78423.95799999998
BRA,IND,2003,164642.91899999994
BRA,ITA,2003,405729.06999999983
BRA,JPN,2003,429562.17099999986
BRA,KOR,2003,84950.2529999998
BRA,MEX,2003,2119389.188
BRA,RUS,2003,1241457.902
BRA,SAU,2003,663698.703
BRA,TUR,2003,285764.043
BRA,USA,2003,6925301.078
BRA,ZAF,2003,555549.3030000001
CAN,CHN,2003,-2195786.8809999996
CAN,DEU,2003,-3410636.9869999997
CAN,EUN,2003,-6352536.607000001
CAN,FRA,2003,-1091014.5459999999
CAN,GBR,2003,-1084310.5220000008
CAN,IDN,2003,-56740.667000000016
CAN,IND,2003,-176262.63100000005
CAN,ITA,2003,-1488253.2969999998
CAN,JPN,2003,-1541253.6749999998
CAN,KOR,2003,-1253244.6949999998
CAN,MEX,2003,-1441529.993
CAN,RUS,2003,-27231.834000000003
CAN,SAU,2003,282766.12
CAN,TUR,2003,-26046.378000000026
CAN,USA,2003,84123740.40400001
CAN,ZAF,2003,14651.37599999999
CHN,DEU,2003,-3178180.6620000005
CHN,EUN,2003,73569107.16499999
CHN,FRA,2003,2144404.5889999997
CHN,GBR,2003,7642330.709999999
CHN,IDN,2003,679359.8819999998
CHN,IND,2003,776063.0989999999
CHN,ITA,2003,2352620.6669999994
CHN,JPN,2003,1991876.2779999971
CHN,KOR,2003,-15014950.339000002
CHN,MEX,2003,2292754.004
CHN,RUS,2003,-2227672.2700000005
CHN,SAU,2003,1555683.021
CHN,TUR,2003,1560513.767
CHN,USA,2003,65940997.61100001
CHN,ZAF,2003,1140216.185
DEU,FRA,2003,25772962.341
DEU,GBR,2003,28945259.428000003
DEU,IDN,2003,7004.914000000106
DEU,IND,2003,410495.8160000001
DEU,ITA,2003,13382043.594999999
DEU,JPN,2003,-3021729.7770000007
DEU,KOR,2003,708561.3830000004
DEU,MEX,2003,3780662.9280000003
DEU,RUS,2003,3312168.2540000007
DEU,SAU,2003,3580560.973
DEU,TUR,2003,2555687.403
DEU,USA,2003,42885243.719
DEU,ZAF,2003,3272307.516
EUN,IDN,2003,-7164924.291
EUN,IND,2003,556236.841
EUN,JPN,2003,-35690397.364
EUN,KOR,2003,-10940919.330000002
EUN,MEX,2003,8889293.186
EUN,RUS,2003,-38415566.08699999
EUN,SAU,2003,768956.7440000009
EUN,TUR,2003,3999773.885999996
EUN,USA,2003,78728646.426
EUN,ZAF,2003,-1654518.1769999992
